Question,score1,Answer 1,score2,Answer 2,score3,Answer 3,score4,Answer 4,score5,Answer 5
ماذا يأكل الناس في المستشفى؟,46,جيل أو,28,حساء,12,بوظة,8,بودنغ,6,صلصة التفاح
قم بتسمية الرائحة التي ترتبط بها بالخريف,46,أوراق,20,مطر,9,نار المعسكر,9,فطيرة اليقطين,5,التفاح
قم بتسمية الشيء الذي تحصل على ضمان عليه.,54,سيارة,23,تلفزيون,8,يشاهد,4,حاسوب,3,جهاز
قم بتسمية شيء ما في منزل عادي قد يكون مفقودًا في لوحة Batchelor.,37,أثاث,31,طعام,9,زخرفة,7,عائلة,4,الأجهزة
قم بتسمية شيء يعتبر قانونيًا – ولكن اذا قمت به اثناء القياد يصبح غير قانوني,32,تدخين,23,الأكل,20,احتساء الشراب,18,استخدام الهاتف الخليوي,4,تطبيق المكياج
اذكر سببًا قد يدفع العروس والعريس إلى مغادرة حفل الاستقبال مبكرًا,38,ترك لقضاء شهر العسل,26,القليل من الخصوصية,15,مرهق,4,الكثير للشرب,4,يتجادل
أين تحاول المرأة تجنب ترك علامات أحمر الشفاه؟,38,أسنان,22,قميص,13,زجاج,13,خد شخص ما,11,حول الشفاه
قم بتسمية قطعة من ديكور المنزل التي تأتي أحيانًا بأنماط برية,39,ستائر,28,ورق جدران,22,أريكة,5,بساط,4,عمل فني
لقد سألنا 100 رجل: ما هو العذر الذي قد تختلقه لبدء محادثة مع شخص غريب وجذاب في إحدى الكافيهات؟,37,اسأل عن الوقت,28,هل أعرفك؟,15,التعليق على الطقس,10,شراء مشروب,6,اسأل عن الاتجاهات
قم بتسمية المهنة التي ستمارسها إذا كنت تريد أن تصبح مشهورًا,54,ممثل,26,موسيقي,7,نموذج,6,سياسي,4,رياضي
من أين تحصل على شجرة عيد الميلاد من كل عام؟,34,محل,33,وودز,11,الكثير شجرة,8,مزرعة الشجرة,5,علية
ما هي اللهجة التي قد يتظاهر بها الأمريكي ليبدو أكثر جاذبية؟,61,فرنسي,18,بريطانية,8,ايطالي,8,الأسبانية,3,استرالية
اذكر سببًا لعدم قيام الطفل بالخدعة أو الحلوى,46,مقدس,24,مريض,23,كبير في السن/صغير جدًا,3,لا زي,3,الطقس السيئ
قم بتسمية شيء يرتديه الأشخاص وعليه شعار شركتهم,40,قميص,38,قبعة,10,سترة,7,زي مُوحد,3,شارة
قم بتسمية مهنة تتطلب توازنًا جيدًا حقًا,29,البهلوان,25,بهلوان,17,لاعبة جمباز,13,فنان ترابيز,11,راقصة الباليه
"قم بتسمية هواية يُطلق على المشاركين فيها أيضًا اسم ""-Geeks""",42,الشطرنج,35,حاسوب,9,ألعاب الفيديو,7,الرياضيات,5,فرقة
قم بتسمية شيء يرتبط به الناس مع السويسريين,56,جبن,17,جبال الألب,10,الشوكولاته,6,الساعات,5,الحسابات المصرفية
قم بتسمية مكان قد يشعر فيه العديد من الأشخاص بعدم الارتياح عند الذهاب بدون موعد.,32,مسرح السينما,27,الرقص,19,قِرَان,17,مطعم,3,حاجِز
قم بتسمية نشاط يمكن أن تمطر به,45,حدث رياضي,34,نزهه,10,قِرَان,7,حفلة موسيقية,3,شواء
أخبرني عن مكان في المنزل يمكن أن يتطفل فيه ضيف فضولي.,47,أبواب غرف النوم,36,خزانة الأدوية,7,ثلاجة / مخزن,5,الخزانات,3,الطابق السفلي
قم بتسمية رياضة يمكن ممارستها في لم شمل العائلة.,54,كرة القدم,21,البيسبول,8,حدوات,7,الفريسبي,6,كرة السلة
قم بتسمية مكان قد يذهب إليه الناس من أجل السلام والهدوء.,48,مكتبة,16,حديقة,14,مسجد,13,غرفة نوم,7,شاطئ
اسم شيء يتم تعليمه للأطفال عن آبي لينكولن,56,الرئيس السادس عشر,23,أمين,7,طويل,6,ملغية,5,لحية
قم بتسمية شيء تسمح لجليسة المنزل باستخدامه أثناء تواجدك في منزلك,40,هاتف,35,تلفزيون,12,حمام,8,حاسوب,3,سرير
قم بتسمية لعبة قد تكون غير مناسبة في حفلة الشركة,41,تدور الزجاجة,32,قطاع البوكر,11,الإعصار,11,الحقيقة أو الجرأة,3,بيرة بونج
أخبرني بشيء قد يؤدي إلى طردك من معظم الحانات,45,الدخول في قتال,29,شرب الكثير,6,لا تدفع,5,تجريد,3,أن تكون دون السن القانونية
قم بتسمية شيء محدد غير متناسب في رسم الطفل,70,رأس,11,الأيدي,9,منزل,5,شمس,4,بطن
قم بتسمية شيء ستجده أكثر شيوعًا في فرنسا منه في الولايات المتحدة,52,خمر,19,جبن,10,الشعب الفرنسي,8,فن,8,قبعة
اذكر نوع القبعة التي لا ترى الكثير من الناس يرتدونها في الحياة الواقعية,45,القبعة العلوية,28,قبعة رعاة البقر,6,فيدورا,5,قبعة القش,5,قبعة
قم بتسمية مناسبة يعود فيها الناس إلى مسقط رأسهم,37,جمع شمل,27,عيد الميلاد,21,قِرَان,10,جنازة,3,عيد ميلاد
ما الذي ستحتاجه إذا أردت ارتداء روكي بالبوا لعيد الهالوين؟,32,قفازات الملاكمة,29,العضلات,18,سراويل,9,شعر مستعار,4,العين السوداء
قم بتسمية نشاط ترفيهي يتم إجراؤه تقليديًا في الطقس الحار,44,سباحة,18,كرة السلة,17,الكرة الطائرة,11,تصفح,7,القوارب
اذكر شيئًا محددًا غالبًا ما يمدح الرجل المرأة عندما يحاول اصطحابها.,51,عيون,29,شعر,8,يبتسم,8,ملابس,3,جسم
قم بتسمية مدينة أمريكية من المحتمل أن يكون بها الكثير من العزاب,42,نيويورك,25,لوس أنجلوس,12,سان فرانسيسكو,4,لاس فيجاس,4,بوسطن
قم بتسمية شيء قد يخرج من أنفك عندما تضحك.,48,نزلح,38,لبن,5,ماء,4,الصودا,3,يتنفس
قم بتسمية شيء يصعب القيام به في يوم صيفي حار بشكل خاص.,50,يجري,18,اذهب إلى العمل,15,عمل الفناء,10,ينام,5,يتنفس
قم بتسمية اتجاه الملابس من الثمانينيات والذي عاد إلى الموضة,32,السراويل تمتد,21,الجينز الضيق,15,تدفئة الساق,12,شعر كبير,7,ألوان زاهية
اذكر شيئًا تعرفه عن أرنب عيد الفصح,45,يحمل البيض,15,القفزات,15,البعض لا يصدق,15,أبيض,6,يجلب الحلوى
ما الذي يجبر مستهلك منتج غذائي على الاتصال بخدمة العملاء؟,52,الغذاء الذي لا معنى له,17,الشعر في الغذاء,13,البق في الغذاء,10,التسمم الغذائي,5,الختم المكسور
قم بتسمية مبنى مشهور كبير بما يكفي لإيواء ديناصور.,38,مبنى امباير ستيت,28,البيت الأبيض,17,برج سيرز,9,برج ايفل,5,قصر باكنغهام
قم بتسمية سلالة من الكلاب يمكن استخدامها ككلب حراسة,36,جيرمان شيبرد,23,بيت بول,20,دوبيرمان بينشر,8,روتويللر,5,البلدغ
أخبرني بنوع مركبة العمل - غالبًا ما يُنظر إليها على أنها لعبة للأطفال,43,شاحنة قلابة,34,محرك النار,10,جرار,6,سيارة الشرطة,3,جرافة
قم بتسمية شيء قد تخبرك به اللافتة الموجودة خارج الفندق,46,خالي,18,سعر الليلة,11,اسم الفندق,6,ممنوع التدخين,6,تلفزيون الكابل
ما هو أول شيء يفعله الزوج عندما يعلم أن زوجته حامل؟,51,يبكي,21,إِغماء,13,عناقها,7,احتفل,4,اتصل بالعائلة
قم بتسمية شيء يمتلكه الشخص الذي يحصل على التواريخ - والذي لا يمتلكه الشخص الذي لا يحصل على التواريخ.,35,مظهر جيد,26,مال,20,حميمية,9,سحر/ثقة,9,سيارة
قم بتسمية نوع من الإعلانات التليفزيونية التي تستهدف الرجال عادةً.,38,جعة,29,كولونيا/بعد الحلاقة,13,شفرات الحلاقة,4,مزيل العرق,4,سيارة
أخبرني بشيء لن تقترضه أبدًا من صديقك المقرب.,42,مال,38,الملابس الداخلية,8,فرشاة الأسنان,5,رَفِيق,4,سيارة
من أو ماذا يمكن أن تعطي لقبًا؟,34,حيوان أليف,26,صديق,23,طفل,12,شريك,3,سيارة
ما الذي يمكن أن يواجهه الطفل في مشكلة عند الكتابة عليه؟,51,حائط,30,مكتب المدرسة,6,ملابس,3,جلد,3,سيارة
إذا كان هناك مقهى ذواقة للكلاب، ما هي نكهات القهوة التي من المحتمل أن تكون في القائمة؟,43,لحم,25,عظم اللبن,13,لحم خنزير مقدد,9,فرخة,8,قطة
ما الذي يمكن أن يحضره الطفل إلى المخيم الصيفي - في حالة شعوره بالحنين إلى الوطن,36,صورة العائلة,28,دمية دب,23,بطانية,6,وسادة,4,الهاتف الخلوي
اذكر شيئًا قد تأخذه المرأة إلى المنزل من حفل زفاف صديقتها المفضلة,60,باقة,27,كعكة,4,رجل,3,صور,3,القطعة المركزية
قم بتسمية شيء قد تراه في جيري سبرينغر، ولكن ليس في أوبرا,56,القتال,22,عري,6,حماية,4,جيري سبرينغر,3,ألقيت الكراسي
أخبرني بشيء يفعله الناس مع الخيول، ولكن لا يوجد أي شيء يفعله أي حيوان آخر في المزرعة.,54,يركب,21,سباق,11,فرشاة لهم,5,تدريب / تبين لهم,3,تغيير الأحذية
قم بتسمية شيء تفعله في العمل - على الرغم من أنك تعلم أنه ليس من المفترض أن تفعله,35,استخدام الهاتف الخليوي,19,خذ قيلولة,17,تصفح الإنترنت,11,دخان,9,الدردشة على الانترنت
قم بتسمية الطعام الذي تحبه الكلاب بنفس القدر الذي يحبه البشر. (اللحوم ليست إجابة - كن أكثر تحديدًا),48,شريحة لحم,14,فرخة,13,خبز,13,همبرغر,8,جبن
قم بتسمية شيء يفعله الناس على مائدة العشاء - حتى لو كان يعتبر من الأخلاق السيئة,41,تجشؤ,32,المرفقين على الطاولة,18,التحدث مع الفم الكامل,3,تناول الطعام باليدين,3,مضغ مع فتح الفم
أي من أفراد عائلتك يصعب التسوق له خلال العطلات؟,36,أم,24,أب,16,زوج,8,الجد,5,طفل
إذا كان عملك يريد من الأشخاص البقاء في المكتب أكثر، فما الذي يجب عليهم إحضاره؟,54,طعام مجاني,14,جهاز تلفزيون,13,الكحول,9,موسيقى,4,رعاية الأطفال
قم بتسمية شيء تكون على استعداد لدفع ضعف ثمنه في أحد المتاجر الصغيرة لأنك تحتاج إليه بسرعة.,41,لبن,22,السجائر,14,مسكن للألم,13,منتجات نسائية,6,الشوكولاته
ما الذي يمكن أن تتفاخر به المرأة بأن زوجها أفضل من معظم الناس؟,42,التقبيل / العلاقة الحميمة,23,طبخ,12,إصلاح الأشياء,7,صنع المال,6,تنظيف
قم بتسمية شيء يفعله الناس أثناء ركوب قطار الأفعوانية,43,الصراخ,32,رفع الأسلحة,13,مرض,4,يضحك,4,أغلق عيونهم
"غير نفسه - قم بتسمية شيء ينظفه الرجل قبل موعد كبير (أكثر تحديدًا من ""المنزل"").",45,سيارة,22,حمام,19,مطبخ,6,غرفة نوم,6,ملابس
اذكر الهدية التي ستسعد معظم النساء بالحصول عليها في عيد الميلاد,42,مجوهرات,21,سيارة,19,نقدي,7,عطر,5,ملابس
قم بتسمية شيء لديك دائمًا معك حتى لا تضيع,58,رسم خريطة,17,بوصلة,12,الهاتف الخلوي,7,نظام تحديد المواقع,3,شارك الطيار
قم بتسمية شيء قد تدفع لشخص ما للقيام به أثناء وجودك في إجازة,28,رعاية الحيوانات الأليفة,27,منزل الجلوس,20,النباتات المائية,15,جليسة الأطفال,4,جمع البريد
قم بتسمية علامة فارقة بالنسبة لمعظم المراهقين,46,رخصة السائق,34,تخرُّج,7,القبلة الأولى / التاريخ,6,حفلة موسيقية,4,كلية
قم بتسمية شيء ما في المنزل قد تفوتك في الإجازة.,38,حيوان أليف,30,سرير,11,عائلة,9,تلفزيون,7,حاسوب
إذا وجدك رئيسك في العمل نائماً في العمل، ما هو العذر الذي قد تقدمه لإغلاق عينيك؟,53,التفكير/ التركيز,24,الصداع / الحساسية,8,الصلاة / التأمل,5,شيء في العين,5,العدسات اللاصقة/جفاف العيون
اذكر شيئًا يفعله الطفل ويمكن اعتباره مغازلة إذا فعله شخص بالغ,32,قبلات ضربة,29,يبتسم,17,رموش الخفافيش,13,قهقه,7,سجع
لقد سألنا 100 امرأة: قم بتسمية شيء تحبين أن ترى الرجل يفعله لأنه يعبر عن جانبه اللطيف.,63,يبكي,15,افتح الباب,8,يحضن,4,العب مع الاطفال,3,كوك بالنسبة لي
قم بتسمية شيء لا يجب أن تتناوله على الغداء قبل اختبار القيادة مباشرة,41,الكحول,33,فول,12,البصل,11,ثوم,3,ترك الأشياء
غير الأكاديمية لماذا قد يختار المراهق كلية معينة؟,47,فريق رياضي,28,موقع,11,الأصدقاء ذاهبون,9,مدرسة الحزب,3,تكلفة الرسوم الدراسية
قم بتسمية شيء لا تريد أن يفعله الشخص المجاور لك أثناء تناول الطعام.,28,اخراج الريح,22,يعطس,19,يصدر صوت ,15,ينف,8,سعال
اذكر الطريقة التي قد يتغير بها صوت الرجل عند التحدث إلى من تحب.,31,يعمق,31,أكثر ليونة,15,التأتأة العصبية,7,درجة أعلى,6,كسر
ما هو العنصر الذي قد يُطلب من الشخص الذي لا يجيد الطهي إحضاره إلى عيد الشكر؟,25,مشروبات,20,سلطة,20,حَلوَى,17,لفات,15,صلصة التوت البري
ما الذي ستسمعه في الراديو والذي قد يجعلك تدير المحطة؟,34,تجاري,26,أخبار,18,أغاني سيئة,17,ثابت,4,شتم
لقد سألنا 100 امرأة: أين تتمنى أن يكون شريكك أكثر استعدادًا للذهاب معك؟,45,التسوق,19,كنيسة,16,مسرح السينما,6,صالون / سبا,3,الرقص
اذكر شيئًا قد تفعله في أيام إجازتك في عيد الميلاد؟,43,محل,35,ينام,11,أجازة,5,يطبخ,4,تزيين
أي جزء من الاستعداد للعطلة هل تؤجله دائمًا حتى اللحظة الأخيرة؟,42,التسوق,22,طبخ,19,تنظيف,8,تغليف الهدايا,8,تزيين
إذا كانت شركتك توفر المال - قم بتسمية شيء قد لا يكون موجودًا في حفلة العطلة.,42,طعام,40,الكحول,9,الهدايا,4,موسيقى,3,زينة
عندما ينفد مالها – ما الذي يمكن أن يضعه المقامر على الطاولة؟,43,مجوهرات,19,مفاتيح السيارة,14,بطاقة إئتمان,8,مقالات من الملابس,6,صك للمنزل
اذكر شيئًا محددًا عن سانتا الذي يجعل الأطفال يخافون منه في المركز التجاري.,49,لحية,34,مقاس,8,الضحك القلبية,5,غريب,3,صوت عميق
اذكر سببًا قد يجعل سائقًا آخر يضيء مصابيحه الأمامية تجاهك.,38,الشرطة الى الامام,23,القيادة بطيئة جدًا,20,إطفاء/تشغيل الأضواء,9,يضيء على,7,الغزلان / الحيوان في الطريق
قم بتسمية أحد المشاهير الوسيمين جدًا لدرجة أنه يستطيع جعل بدلة سانتا تبدو مثيرة.,63,براد بيت,20,جورج كلوني,6,توم كروز,5,ويل سميث,3,دينزل واشنطن
في أي مناسبة كان مظهر شريكك مذهلاً آخر مرة؟,61,قِرَان,18,عيد,6,حفلة موسيقية,6,حفلة عيد ميلاد,3,موعد العشاء
قم بتسمية جهاز لديك واحد فقط منه.,27,محمصة,24,موقد,23,ميكروويف,16,ثلاجة,8,غسالة الأواني
قم بتسمية شيء غالبًا ما يطارده الناس في الأفلام,37,وحش,22,سيارات,19,رجال شرطة,10,الأشرار,10,كلاب
قم بتسمية الطعام أو الشراب الذي تشمه خارج المطعم في الصباح,35,لحم خنزير مقدد,35,قهوة,16,بيض,5,خبز,5,كعكة محلاة
اذكر سببًا قد يجعلك تقود بحذر أكثر من المعتاد.,35,مطر,24,الأطفال على متن الطائرة,15,ثلج,13,حادث قدما,9,اختبار القيادة
قم بتسمية مركبة بطيئة الحركة تكره أن تعلق خلفها,34,حافلة,26,نصف شاحنة,23,جرار,6,شاحنة القمامة,4,شاحنة قلابة
قم بتسمية شيء لا يجب عليك فعله بعد الحصول على مانيكير,30,اغسل يديك,19,اغسل الأطباق,17,يقود,17,المس أي شيء,15,يأكل
قم بتسمية شيء يمكنك الحصول عليه بحجم كبير جدًا,54,تي شيرت,18,بطاطا مقلية,13,بيتزا,9,الصودا,5,سرير
قم بتسمية شيء غالبًا ما ينفد منه لاعب الجولف السيئ,40,كرات الجولف,24,المحملات,21,الصبر,11,الأندية,3,طاقة
اذكر شيئًا يفعله الناس قبل النوم مما يجعل النوم صعبًا.,46,يأكل,32,شرب القهوة,9,مشاهدة التلفزيون,6,دش,5,يمارس
قم بتسمية شيء على جسمك تريد أن يكون لامعًا.,39,شعر,22,أسنان,17,الأظافر,8,شفه,6,عيون
قم بتسمية الطريقة التي تعرف بها أن معلمك يمر بيوم سيء.,36,يصرخ كثيرا,22,مُتَأَفِّف,19,الواجبات المنزلية الإضافية,16,يعطي العقوبات,3,تعبيرات الوجه
قم بتسمية الوظيفة التي ستقف فيها في مكان واحد طوال اليوم,56,كاتب المتجر,19,صراف البنك,11,حارس أمن,6,جامع الرسوم,5,عامل مصنع
اذكر سببًا قد يجعلك تزيل وشمًا.,46,اسم السابقين,20,إنه قبيح,15,أصبحت قديمة,12,إشغال,7,تلاشى
قم بتسمية مكان يحصل فيه الأشخاص على وصفات جديدة,35,إنترنت,27,كتاب الطبخ,24,تلفزيون,7,أصدقاء,4,وصفة عائلية
اذكر النفقات الكبيرة التي يخطط لها بعض الآباء لسنوات مقدمًا.,41,تعليم الطفل,18,زفاف الطفل,13,التقاعد,13,شراء منزل,12,عطلة عائلية
قم بتسمية شيء محدد سيفعله النادل للحصول على نصائح جيدة,37,يبتسم,28,كن ودودًا,12,العودة في كثير من الأحيان,12,يعاكس,6,خدمة سريعة
اذكر سببًا قد يدفعك إلى تخطي وجبة الغداء.,45,ليس جائعا,16,مشغول جدا,12,على النظام الغذائي,10,العمل/الاجتماع,5,الشعور بالمرض
ماذا يجب أن يرتدي الرجل كما لو كان يريد الحصول على الكثير من التمر في عيد الهالوين؟,31,محتال,30,دراكولا,13,الأمير,12,سوبرمان,10,رجل الاطفاء
قم بتسمية المهنة التي قد تكون فيها في مدينة جديدة كل ليلة,47,طيار,17,مندوب مبيعات,10,موسيقي,8,سائق شاحنة,7,مضيفة طيران
قم بتسمية حالة الطقس التي تكره القيادة فيها,46,ثلج,26,مطر,9,الطرق الجليدية,8,صقيع / حائل,5,ضباب
قم بتسمية شيء تتحدث عنه معظم العائلات عندما يجتمعون معًا.,28,عمل,26,أفراد العائلة,22,الزواج والعلاقات,11,الايام الماضية,10,طعام
قم بتسمية الوظيفة التي قد تحصل عليها إذا كنت تعمل في Disneyworld.,35,شخصية زي,26,مشغل ركوب,14,ممثل المرحلة,10,بائع التذاكر / آخذ,8,بائع أغذية
قم بتسمية لعبة يلعبها الكبار في حفلة شواء,31,لعبة البوكر,31,حدوات,11,الكرة الطائرة,8,البيسبول,7,كرة القدم
قم بتسمية المادة التي تستخدمها في المدرسة الثانوية بشكل أقل اليوم,39,الرياضيات المتقدمة,21,علوم,15,تاريخ,10,فن,6,لغة أجنبية
اذكر شيئًا قد يفعله الطفل للتخلص من المشاركة في دروس الجيم,48,مريض وهمي,19,تصاب,9,ملاحظة الطبيب,8,تخطي الصف,5,ننسى ملابس الصالة الرياضية
قم بتسمية شيء قديم جدًا تجده في العديد من المتاحف.,41,عظام الديناصورات,25,مومياء,20,لوحات,6,تماثيل,6,الحفريات
بخلاف عيد الميلاد - قم بتسمية مناسبة يقوم الناس بتزيين منازلهم من أجلها.,43,الهالوين,16,عيد الفصح,14,عيد الشكر,9,عيد ميلاد,7,الرابع من يوليو
"قم بتسمية كلمة تعني ""توقف"".",43,وقف,23,يترك,14,لا,9,يوقف,8,تجميد
قم بتسمية شيء غالبًا ما يمسك به الأطفال,54,مرض,17,كرة,16,البق / الفراشات,8,سمكة,3,الضفادع
ما هي شخصية العطلة الخيالية التي لا ترغب في وجودها في فريق سباق التتابع الخاص بك؟,39,سانتا كلوز,27,أرنب عيد الفصح,12,غرينش,9,إبنيزر البخيل,5,فاترة
ماذا يأكل الكثير من الناس في عيد الميلاد؟,39,ديك رومى,31,لحم خنزير,13,ملفات تعريف الارتباط,7,حلوى,3,كعكة الفاكهة
قم بتسمية شيء ما في منزلك يجب تغييره من وقت لآخر.,41,صفائح,30,المصباح الكهربائي,7,فلتر الهواء,7,البطاريات,6,الأثاث/الديكور
لماذا قد تسافر إلى المنزل لقضاء العطلات بدلاً من القيادة؟,55,أسرع,14,مسافة,13,تجنب حركة المرور,9,ظروف الطريق,6,أسعار الغاز
قم بتسمية شيء لا تريد أن يحضره طفلك إلى المنزل من المدرسة.,31,قمل,24,درجات سيئة,21,المخدرات,7,مرض,6,الجراثيم
عند الجلوس بجوار شخص تحبه - قم بتسمية شيء تفعله المرأة للمغازلة.,39,يبتسم,23,غمزة,11,الدردشة معهم,10,العب بالشعر,7,قهقه
قم بتسمية شيء سيكون مقدسًا للكثير من الناس القيام به بمفردهم في الليل,47,المشي إلى المنزل,35,ينام,7,يقود,5,مشاهدة فيلم رعب,4,اذهب للركض
اذكر الوقت الذي تختار فيه الزوجة ملابس زوجها في كثير من الأحيان.,41,قِرَان,26,خدمة العبادة,15,حزب,6,العمل/المقابلة,5,الذهاب لتناول العشاء
قم بتسمية كلمة لشخص لم يرتكب أي خطأ أبدًا,34,الكمال,25,القديس,21,ملاك,10,افعل الخير,8,جودي حذاءين
قم بتسمية مكان لا تتوقع أن ترى فيه بطلًا خارقًا.,27,سجن,25,مكان العبادة,19,مول,19,حاجِز,8,محل بقالة
إذا كنت تعيش مع لاعب كمال أجسام - اذكر الكلمة التي تسمعها غالبًا في المنزل,27,نظام عذائي,26,العضلات,15,بروتين,14,الأوزان,9,نادي رياضي
بخلاف الملابس - قم بتسمية شيء قد يتفوق عليه الطفل,48,ألعاب,28,سرير,13,تصفيفة الشعر,5,دراجة,5,العادات
قم بتسمية الأحداث المهمة التي يسجلها الأشخاص عن الطفل.,41,كلمة,31,خطوات,16,الأسنان,8,يبتسم,3,قصة شعر
شكر آخر للعائلة والأصدقاء - قم بتسمية الشخص الذي تقدم له هدية أو نصيحة خلال العطلات,50,زميل العمل,28,ناقل البريد,11,مدرس,6,تسليم الصحف,3,مصفف شعر
قم بتسمية شيء تأكله ويمكن وصفه بأنه كثير العصير.,56,البرتقالي,14,خَوخ,14,شريحة لحم,12,تفاحة,3,همبرغر
إذا لم تكن هناك أطباق نظيفة، فما الذي قد تتناوله؟,35,منديل,25,حوض,15,طاولة,13,صَحن,7,يُسلِّم
اذكر اسم العضو الذي ينتفخ في جسم المرأة الحامل,35,قدم,33,بطن,18,الكاحلين,3,وجه,3,الأيدي
لقد سألنا 100 امرأة: إذا كنت ترتدي ملابس غير لائقة لحضور حفلة، ما الذي يمكنك ارتداؤه بسرعة لتبدو أنيقًا؟,33,مجوهرات,31,ماكياج,15,سترة,8,وشاح,8,الكعب
اذكر شيئًا قد يفعله الرجل عندما يكون مع صديقته وقد يضايقه رفاقه بشأنه.,25,تقبيل,23,عقد اليدين,21,البكاء في فيلم,16,اذهب للتسوق,11,عقد الباب مفتوحا
"بخلاف ""عيد الميلاد"" - قم بتسمية كلمة موجودة في كل أغنية عيد الميلاد تقريبًا",39,مرح,22,سانتا,17,ثلج,9,أجراس,6,عطلة
ما هي الشكاوى التي يقدمها الناس بشأن عطلة عيد الميلاد؟,27,حساب,24,أقارب فضوليين/مزعجين,20,حركة المرور/السفر,13,الحشود,10,طعام العيد
أين تسمع أغاني عيد الميلاد طوال شهر ديسمبر؟,51,محل,31,راديو,8,مكان العبادة,6,تلفزيون,3,بيت
اذكر سببًا لعدم حصولك على ليلة نوم جيدة أثناء إقامتك في منزل شخص آخر,52,ليس سريرك الخاص,17,البيت الصاخب,10,المضيف لديه حيوانات أليفة,9,المنزل غير مألوف,7,الحنين إلى الوطن
قم بتسمية شيء يعتقد الناس أنه سيخبرك بالكثير عن شخص ما,51,عيون,16,ملابس,12,الأيدي,11,يبتسم,4,علامة ابراج
قم بتسمية مكان يكون من الذكاء أن يقوم المحامي بالإعلان عنه.,35,سجن,31,محكمة,11,تلفزيون,9,لوحة الإعلانات,7,مستشفى
إذا كان عليك أن تظل محبوسًا داخل مبنى لمدة عام، فما هو المكان الذي تريد أن تكون فيه؟,31,مركز تسوق,26,مطعم,23,محل بقالة,12,بيت,7,الفندق
اذكر سبب بقائك بالداخل يوم السبت.,46,الطقس السيئ,38,مريض,6,مرهق,5,مشاهدة التلفزيون,4,الأعمال المنزلية
أخبرني عن شيء قد تكذب عليه مع صديق.,30,عمر,28,دخلك,21,وزن,13,من تواعد؟,5,كيف تبدو
قم بتسمية شيء قد يرفض الشخص المصاب برهاب الجراثيم القيام به في موعد غرامي,51,قبلة,23,امسك اليدين,13,مصافحة,4,شارك مشروبًا,3,حضن
قم بتسمية شيء يضيفه الناس إلى الشاي الخاص بهم.,57,سكر,20,ليمون,11,لبن,8,عسل,3,الجليد
ما الذي يمكن أن يأخذه المسافر معه - لكي يبدو أقل خطورة؟,37,طفل,36,جرو,8,دمية دب,3,امرأة,3,بطاقة تعريف
اذكر سببًا لعدم الرد على الهاتف عندما تكون في المنزل.,33,لا تريد التحدث,31,نائم,16,مشغول,7,مسوق عبر الهاتف,7,في الحمام
اذكر سببًا لعدم رغبة الطفل في الحصول على شعر طويل,38,حار,24,التشابك,19,تبدو وكأنها فتاة,7,من الصعب أن يغسل,7,في عيونهم
بخلاف اسم الوظيفة، شيء تملأ طلبًا له.,31,بطاقة إئتمان,27,يُقرض,18,مدرسة,14,تأجير المساكن,5,تأمين
