Question,score1,Answer 1,score2,Answer 2,score3,Answer 3,score4,Answer 4,score5,Answer 5
Name A Reason The Bride And The Groom Might Leave The Reception Early,38,Leave For Honeymoon,26,A Little Privacy,15,Tired,4,Too Much To Drink,4,Arguing
Where Does A Woman Try To Avoid Leaving Lipstick Marks?,38,Teeth,22,Shirt,13,Glass,13,Someone’s Cheek,11,Around Lips
Name A Piece Of Home Decor That Sometimes Comes With Wild Patterns,39,Curtains,28,Wallpaper,22,Couch,5,Rug,4,Artwork
We Asked 100 Men: What Excuse Might You Make Up To Start A Conversation With An Attractive Stranger At A Bar?,37,Ask For The Time,28,Do I Know You?,15,Comment On Weather,10,Buy A Drink,6,Ask For Directions
Name A Profession You’d Shoot For If You Wanted To Be Famous,54,Actor,26,Musician,7,Model,6,Politician,4,Athlete
Where Do You Get You Christmas Tree From Every Year?,34,Store,33,Woods,11,Tree Lot,8,Tree Farm,5,Attic
What Accent Might An American Pretend To Have In Order To Sound Sexier,61,French,18,British,8,Italian,8,Spanish,3,Australian
Name A Reason Why A Kid Might Not Trick-Or-Treat,46,Scared,24,Sick,23,Too Old/Young,3,No Costume,3,Bad Weather
Name Something People Wear That Has Their Company Logo On,40,Shirt,38,Hat,10,Jacket,7,Uniform,3,Badge
Name A Profession That Requires Really Good Balance,29,Tightrope Walker,25,Acrobat,17,Gymnast,13,Trapeze Artist,11,Ballerina
Name A Hobby Whose Participants Are Also Called “-Geeks”,42,Chess,35,Computer,9,Video Games,7,Math,5,Band
Name Something People Associate With The Swiss,56,Cheese,17,Alps,10,Chocolate,6,Watches,5,Bank Accounts
Name A Place Where Many People Would Feel Uncomfortable Going Without A Date.,32,Movie Theatre,27,Dance,19,Wedding,17,Restaurant,3,Bar
Name An Activity That Could Be Rained Out,45,Sports Event,34,Picnic,10,Wedding,7,Concert,3,Barbeque
Tell Me A Place In The House Where A Nosey House Guest Might Snoop.,47,Bedroom Doors,36,Medicine Cabinet,7,Fridge/Pantry,5,Closets,3,Basement
Name A Sport That Might Be Played At A Family Reunion.,54,Football,21,Baseball,8,Horseshoes,7,Frisbee,6,Basketball
Name A Place People Might Go For Peace And Quiet.,48,Library,16,Park,14,Church,13,Bedroom,7,Beach
Name Something Kids Are Taught About Abe Lincoln,56,16th President,23,Honest,7,Tall,6,Abolitionist,5,Beard
Name Something You Would Allow The House Sitter To Use While At Your Place,40,Phone,35,TV,12,Bathroom,8,Computer,3,Bed
Name A Game That Would Be Inappropriate At A Company Party,41,Spin The Bottle,32,Strip Poker,11,Twister,11,Truth Or Dare,3,Beer Pong
Tell Me Something That Would Get You Thrown Out Of Most Bars,45,Getting In A Fight,29,Drinking Too Much,6,Not Paying,5,Stripping,3,Being Underage
Name Something Specific That’s Out Of Proportion In A Child’s Drawing,70,Head,11,Hands,9,House,5,Sun,4,Belly
Name Something That Youâ€™D Find More Commonly In France Than In The Us,52,Wine,19,Cheese,10,French People,8,Art,8,Beret
Name A Type Of Hat That You Don’t See Many People Wear In Real Life,45,Top Hat,28,Cowboy Hat,6,Fedora,5,Straw Hat,5,Beret
Name An Occasion For Which People Return To Their Hometown,37,Reunion,27,Christmas,21,Wedding,10,Funeral,3,Birthday
What Would You Need If You Wanted To Dress A Rocky Balboa For Halloween?,32,Boxing Gloves,29,Muscles,18,Shorts,9,Wig,4,Black Eye
Name A Recreational Activity Traditionally Done In Hot Weather,44,Swimming,18,Basketball,17,Volleyball,11,Surfing,7,Boating
Name Something Specific A Man Often Compliments A Woman On When Trying To Pick Her Up.,51,Eyes,29,Hair,8,Smile,8,Clothes,3,Body
Name A US City That Probably Has A Lot Of Single People,42,New York,25,Los Angeles,12,San Francisco,4,Las Vegas,4,Boston
Name Something that Might Come Out Of Your Nose When You Laugh.,48,Snot,38,Milk,5,Water,4,Soda,3,Breath
Name Something That’s Hard To Do On A Particularly Hot Summer Day.,50,Run,18,Go In To Work,15,Yard Work,10,Sleep,5,Breathe
Name A Clothing Trend From The 1980S That Has Come Back In Style,32,Stretch Pants,21,Tight Jeans,15,Leg Warmers,12,Big Hair,7,Bright Colors
Name Something You Know About The Easter Bunny,45,Carries Eggs,15,Hops,15,Some Don’t Believe,15,White,6,Brings Candy
What Would Compel A Consumer Of A Food Product To Call Costumer Service?,52,Stale Food,17,Hair In Food,13,Bugs In Food,10,Food Poisoning,5,Broken Seal
Name A Famous Building That’s Big Enough To House A Dinosaur.,38,Empire State Bldg,28,White House,17,Sears Tower,9,Eiffel Tower,5,Buckingham Palace
Name A Breed Of Dog That Might Be Used As A Guard Dog,36,German Shepard,23,Pit Bull,20,Doberman Pinscher,8,Rottweiler,5,Bulldog
Tell Me A Type Of Work Vehicle- That’s Often Seen As A children’s Toy,43,Dump Truck,34,Fire Engine,10,Tractor,6,Police Car,3,Bulldozer
Name Something The Sign Outside A Hotel Might Tell You,46,Vacancy,18,Nightly Rate,11,Hotel’s Name,6,No Smoking,6,Cable TV
What’s The First Thing A Husband Does When He Finds Out His Wife is Pregnant?,51,Cry,21,Faint,13,Hug Her,7,Celebrate,4,Call Family
Name Something That Someone Who Gets Dates Has- That Someone Who Doesn’t Get Dates Doesn’t Have.,35,Good Looks,26,Money,20,Intimacy,9,Charm/Confidence,9,Car
Name A Type Of TV Commercial That’s Usually Targeted At Men.,38,Beer,29,Cologne/Aftershave,13,Razors,4,Deodorant,4,Car
Tell Me Something You Would Never Borrow From Your Close Friend.,42,Money,38,Underwear,8,Toothbrush,5,Mate,4,Car
Who Or What Might You Give A Nickname To?,34,Pet,26,Friend,23,Child,12,Partner,3,Car
What Might A Kid Get In Trouble For Writing On?,51,Wall,30,School Desk,6,Clothes,3,Skin,3,Car
If There Was A Gourmet Cafe For Dogs- Which Coffee Flavors Would Likely Be On The Menu?,43,Beef,25,Milkbone,13,Bacon,9,Chicken,8,Cat
What Might A Child Bring To Summer Camp- In Case They Get Homesick,36,Family Photo,28,Teddy Bear,23,Blanket,6,Pillow,4,Cell Phone
Name Something A Woman Might Take Home From Her Best Friend’s Wedding,60,Bouquet,27,Cake,4,Man,3,Photos,3,Centerpiece
Name Something You Would See On Jerry Springer- But Not On Oprah,56,Fighting,22,Nudity,6,Security,4,Jerry Springer,3,Chairs Thrown
Tell Me Something People Do With Horses- But No Other Farm Animals.,54,Ride,21,Race,11,Brush Them,5,Train/Show Them,3,Change Shoes
Name Something You Do At Work- Although You Know You’re Not Supposed To,35,Use Cell Phone,19,Take Naps,17,Surf The Internet,11,Smoke,9,Chat Online
Name A Food That Dogs Love Just As Much As Humans Do.(Meat Is Not An Answer- Be More Specific),48,Steak,14,Chicken,13,Bread,13,Hamburger,8,Cheese
Name Something People Do At The Dinner Table- Even Though It’s Considered Bad Manners,41,Burp,32,Elbows On Table,18,Talk With Full Mouth,3,Eat With Hands,3,Chew With Mouth Open
Which Of Your Family Members Is Hardest To Shop For Around The Holidays?,36,Mom,24,Dad,16,Spouse,8,Grandparent,5,Child
If Your Work Wanted People To Stick Around The Office More- What Should They Bring In?,54,Free Food,14,A TV Set,13,Alcohol,9,Music,4,Childcare
Name Something That You Would Be Willing To Pay Twice As Much For At A Convenience Store Because You Need It Quickly.,41,Milk,22,Cigarettes,14,Painkiller,13,Feminine Products,6,Chocolate
What Might A Woman Brag That Her Husband Is Better At Than Most?,42,Kissing/ Intimacy,23,Cooking,12,Fixing Things,7,Making Money,6,Cleaning
Name Something People Do While Riding A Rollercoaster,43,Scream,32,Raise Arms,13,Get Sick,4,Laugh,4,Close Their Eyes
Other Than Himself- Name Something A Man Cleans Before A Big Date (More Specific Than “House”).,45,Car,22,Bathroom,19,Kitchen,6,Bedroom,6,Clothes
Name A Gift That Most Women Would Be Thrilled To Get For Christmas,42,Jewelry,21,Car,19,Cash,7,Perfume,5,Clothes
Name Something You Always Have With You So You Don’t Get Lost,58,Map,17,Compass,12,Cell Phone,7,GPS,3,Co Pilot
Name Something You Might Pay Someone To Do While You’re Away On Vacation,28,Care For Pets,27,House Sit,20,Water Plants,15,Babysit,4,Collect Mail
Name A Milestone For Most Teenagers,46,Driver’s License,34,Graduation,7,First Kiss/ Date,6,Prom,4,College
Name Something Form Home you Might Miss On Vacation.,38,Pet,30,Bed,11,Family,9,TV,7,Computer
If Your Boss Finds You Sleeping On The Job- What Excuse Might You Give For Having Your Closed Eyes?,53,Thinking/ Concentrating,24,Headache/ Allergies,8,Praying/ Meditating,5,Something In Eye,5,Contact Lens/ Dry Eyes
Name Something A Baby Does That Would Be Considered Flirting If An Adult Did It,32,Blow Kisses,29,Smile,17,Bat Eyelashes,13,Giggle,7,Coo
We Asked 100 Women: Name Something You Like To See A man Do Because It Expresses His gentle Side.,63,Cry,15,Open Door,8,cuddle,4,Play With Kids,3,Cook For Me
Name Something You Shouldn’t Have For Lunch Right Before A Driving Test,41,Alcohol,33,Beans,12,Onions,11,Garlic,3,Leaving Things
Other Than Academic Why Might A Teen Choose A Certain College?,47,Sports Team,28,Location,11,Friends are Going,9,Party School,3,Cost Of Tuition
Name Something You Don’t Want The Person Next To You To Do While You’re Eating.,28,Pass Gas,22,Sneeze,19,Make noise,15,Blow Nose,8,Cough
Name A Way That A Man’s Voice Might Change When Talking To His Love Interest.,31,Deepens,31,Softer,15,Nervous Stutter,7,Higher Pitch,6,Crack
What Item Might A Person Who Can’t Cook Be Asked To Bring To Thanksgiving?,25,Drinks,20,Salad,20,Dessert,17,Rolls,15,Cranberry Sauce
What Would You Hear On The Radio That Would Make You Turn The Station?,34,Commercial,26,News,18,Bad Songs,17,Static,4,Cursing
We Asked 100 Women: Where Do You Wish Your Partner Was More Willing To Go With You?,45,Shopping,19,Church,16,Movie Theatre,6,Salon/Spa,3,Dancing
Name Something You Might Do With Your Days Off Around Christmas?,43,Shop,35,Sleep,11,Vacation,5,Cook,4,Decorate
Which Part Of Holiday Preparation Do You Always Put Off Til The Last Minute?,42,Shopping,22,Cooking,19,Cleaning,8,Wrapping Gifts,8,Decorating
If Your Company Was Saving Money- Name Something That Might Not Be At The Holiday Party.,42,Food,40,Alcohol,9,Gifts,4,Music,3,Decorations
When She’s Run Out Of Money- What Might A Gambler Put On The Table?,43,Jewelry,19,Car Keys,14,Credit Card,8,Articles Of Clothing,6,Deed To House
Name Something Specific About Santa That Causes Children To Be Afraid Of Him At The Mall.,49,Beard,34,Size,8,Hearty Laugh,5,Stranger,3,Deep Voice
Name A Reason Why Another Driver May Flash Their Headlights At You.,38,Police Ahead,23,Driving Too Slow,20,Lights Off/On,9,Brights On,7,Deer/Animal In The Road
Name A Celebrity Who’s So Handsome He Could Make A Santa Suit Look Sexy.,63,Brad Pitt,20,George Clooney,6,Tom Cruise,5,Will Smith,3,Denzel Washington
For What Occasion Did Your Partner Last Look Stunning?,61,Wedding,18,Anniversary,6,Prom,6,Birthday Party,3,Dinner Date
Name An Appliance You Have Only One Of.,27,Toaster,24,Stove,23,Microwave,16,Refrigerator,8,Dishwasher
Name Something People Are Often Chased By In Movies,37,Monster,22,Cars,19,Cops,10,Bad Guys,10,Dogs
Name A Food Or Drink That You Smell Outside A Restaurant In The Morning,35,Bacon,35,Coffee,16,Eggs,5,Bread,5,Doughnut
Name A Reason You Might Be Driving More Cautiously Than Normal.,35,Rain,24,Children On Board,15,Snow,13,Accident Ahead,9,Driver’s Test
Name A Slow-Moving Vehicle That You Hate To Get Stuck Behind,34,Bus,26,Semi Truck,23,Tractor,6,Garbage Truck,4,Dump Truck
Name Something You Shouldn’t Do After Getting A Manicure,30,Wash Hands,19,Wash Dishes,17,Drive,17,Touch Anything,15,Eat
Name Something You Can Get In Extra Large,54,T-Shirt,18,Fries,13,Pizza,9,Soda,5,bed
Name Something A Bad Golfer Often Runs Out Of,40,Golf Balls,24,Tees,21,Patience,11,Clubs,3,Energy
Name Something People Do Before Bed That Makes It Hard To Sleep.,46,Eat,32,Drink Coffee,9,Watch TV,6,Shower,5,Exercise
Name Something On Your Body That You Want To Be Shiny.,39,Hair,22,Teeth,17,Nails,8,Lips,6,Eyes
Name A Way You Know Your Teacher Is Having A Bad Day.,36,Yells A Lot,22,Grumpy,19,Extra Homework,16,Gives Punishments,3,Facial Expression
Name A Job In Which You’d Stand In One Place All Day,56,Store Clerk,19,Bank Teller,11,Security Guard,6,Toll Collecter,5,Factory Worker
Name A Reason You May Get A Tattoo Removed.,46,Ex’s Name,20,It’s Ugly,15,Got Old,12,Occupation,7,Faded
Name A Place Where People Get New Recipes,35,Internet,27,Cookbook,24,TV,7,Friends,4,Family Recipe
Name A Big Expense That Some Parents Plan For Years In Advance.,41,Child’s Education,18,Child’s Wedding,13,Retirement,13,Buying A House,12,Family Vacation
Name Something Specific A Waiter Would Do To Get Good Tips,37,Smile,28,Be Friendly,12,Return Often,12,Flirt,6,Fast Service
Name A Reason Why You Might Skip Lunch.,45,Not Hungry,16,Too Busy,12,On A Diet,10,Work/Meeting,5,Feeling Sick
What Should A Man Dress As If He Wants To Get A Lot Of Dates On Halloween?,31,Hustler,30,Dracula,13,Prince,12,Superman,10,Firefighter
Name An Occupation In Which You Might Be In A New City Every Night,47,Pilot,17,Salesperson,10,Musician,8,Truck Driver,7,Flight Attendant
Name A Weather Condition You Hate To Drive In,46,Snow,26,Rain,9,Icy Roads,8,Sleet/ Hail,5,Fog
Name Something Most Families Talk About When They Get Together.,28,Work,26,Family Members,22,Marriage and relationships,11,Old Times,10,Food
Name A Job You Might Have If You Worked At Disneyworld.,35,Costume Character,26,Ride Operator,14,Stage Performer,10,Ticket Seller/Taker,8,Food Vendor
Name A Game Adults Play At A BBQ Party,31,Poker,31,Horseshoes,11,Volleyball,8,Baseball,7,Football
Name The High School Subject You Use Least Often Today,39,Advanced Math,21,Science,15,History,10,Art,6,Foreign Language
Name Something A Kid Might Do To Get Out Of Participating In Gym Class,48,Fake Sick,19,Get Injured,9,Doctor’s Note,8,Skip Class,5,Forget Gym Clothes
Name Something Very Old That You Find At Many Museums.,41,Dinosaur Bones,25,Mummy,20,Paintings,6,Statues,6,Fossils
Other Than Christmas- Name An Occasion For Which People Decorate Their Houses.,43,Halloween,16,Easter,14,Thanksgiving,9,Birthday,7,Fourth Of July
Name A Word That Means “Stop.”,43,Halt,23,Quit,14,No,9,Pause,8,Freeze
Name Something Children Often Catch,54,Illness,17,Ball,16,Bugs/ Butterflies,8,Fish,3,Frogs
Which Imagninary Holiday Character Would You Least Like To Have On Your Relay Race Team?,39,Santa Claus,27,Easter Bunny,12,Grinch,9,Ebenezer Scrooge,5,Frosty
What Do A Lot Of People Eat On Christmas,39,Turkey,31,Ham,13,Cookies,7,Candy,3,Fruitcake
Name Something In Your House That Has To Be Changed From Time To Time.,41,Sheets,30,Light Bulb,7,Air Filter,7,Batteries,6,Furniture/Decor
-Why Might You Fly Home For The Holidays- Instead Of Driving?,55,Faster,14,Distance,13,Avoid Traffic,9,Road Conditions,6,Gas Prices
Name Something You Wouldn’t Want Your Kid Bringing Home From School.,31,Lice,24,Bad Grades,21,Drugs,7,Illness,6,Germs
When Sitting Next To Someone She Likes- Name Something A Woman Does To Flirt.,39,Smile,23,Wink,11,Chat Them Up,10,Play With Hair,7,Giggle
Name Something Many People Would Be Sacred To Do Alone At Night,47,Walk Home,35,Sleep,7,Drive,5,Watch Scary Movie,4,Go For A Jog
Name A Time When A Wife Often Chooses Her Husband’s Clothes For Him.,41,Wedding,26,Worship Service,15,Party,6,Work/Interview,5,Going For Dinner
Name A Word For Someone Who Never Does Anything Wrong,34,Perfectionist,25,Saint,21,Angel,10,Do Gooder,8,Goody Two Shoes
Name a Place Where Youd Least Expect to See a Superhero.,27,Jail,25,Place Of Worship,19,Mall,19,Bar,8,Grocery Store
If You Lived With A Bodybuilder- Name A Word You’d Often Hear Around The House,27,Diet,26,Muscle,15,Protein,14,Weights,9,Gym
Other Than Clothes- Name Something A Kid Might Outgrow,48,Toys,28,Bed,13,Hairstyle,5,Bike,5,Habits
Name The Important Firsts That People Record About A Baby.,41,Word,31,Steps,16,Tooth,8,Smile,3,Haircut
Other Thank Family And Friends- Name A Person You Give A Gift Or Tip To During The Holidays,50,Coworker,28,Mail Carrier,11,Teacher,6,Newspaper Delivery,3,Hairdresser
Name Something You Eat That Can Be Described As Juicy.,56,Orange,14,Peach,14,Steak,12,Apple,3,Hamburger
If There Were No Clean Plates- What Might You Eat Over?,35,Napkin,25,Sink,15,Table,13,Bowl,7,Hand
Name A Body Part That Swells On A Pregnant Woman,35,Feet,33,Belly,18,Ankles,3,Face,3,Hands
We Asked 100 Women: If You’re Underdressed For A Party- What Can You Put On Quickly To Look Dressed Up?,33,Jewelry,31,Make Up,15,Jacket,8,Scarf,8,Heels
Name Something A Guy Might Do When He’s With His Girlfriend That His Buddies Might Tease Him About.,25,Kissing,23,Holding Hands,21,Crying At A Movie,16,Go Shopping,11,Hold Door Open
Other Than “Christmas”- Name A Word That’s In Almost Every Christmas Song,39,Merry,22,Santa,17,Snow,9,Bells,6,Holiday
What Complaints Do People Make About The Christmas Holiday?,27,Expense,24,Nosey/Pesky Relatives,20,Traffic/Traveling,13,Crowds,10,Holiday Food
Where Do You Hear Christmas Songs Throughout December?,51,Store,31,Radio,8,Place Of Worship,6,TV,3,Home
Name A Reason Why You Might Not Get A Good Night’S Sleep While Staying At Someone Else’S House,52,Not Your Own Bed,17,Noisy House,10,Host Has Pets,9,House Is Unfamiliar,7,Homesick
Name Something That People Believe Will Tell You A Lot About A Person,51,Eyes,16,Clothes,12,Hands,11,Smile,4,Horoscope Sign
Name A Place Where It’d Be Smart For A Lawyer To Advertise.,35,Jail,31,Court,11,TV,9,Billboard,7,Hospital
If You Had To Be Locked Inside A Building For A Year- Which Place Would You Want It To Be?,31,Shopping Center,26,Restaurant,23,Grocery Store,12,Home,7,Hotel
Name A Reason You’d Stay Inside On A Saturday.,46,Bad Weather,38,Sick,6,Tired,5,Watching TV,4,Housework
Tell Me Something You Might Lie To A Friend About.,30,Age,28,Your Income,21,Weight,13,Who You’re Dating,5,How They Look
Name Something a Germ-O-Phobe Would Refuse To Do On A Date,51,Kiss,23,Hold Hands,13,Shake Hands,4,Share a Drink,3,Hug
Name Something People Add To Their Tea.,57,Sugar,20,Lemon,11,Milk,8,Honey,3,Ice
What Might A Hitchhiker Take With Him- In Order To Seem Less Dangerous?,37,Child,36,Puppy,8,Teddy Bear,3,Woman,3,ID
Name A Reason Why You Don’t Answer The Phone When You’re Home.,33,Don’t Want To Talk,31,Sleeping,16,Busy,7,Telemarketer,7,In The Shower
Name A Reason Why A Child Might Not Want Long Hair,38,Hot,24,Tangles,19,Looks Like A Girl,7,Hard To Wash,7,In Their Eyes
Other Than A Job Name Something For Which You Fill Out An Application.,31,Credit Card,27,Loan,18,School,14,Housing Rental,5,Insurance
Unlike Age Or Weight- Name A Number That You’d Be Surprised For Someone To Offer Before A Blind Date.,36,Phone Number,26,Income,14,Social Security,8,Past Lovers,3,IQ
Name Something In The House That You Shouldn’t Leave On When You Go Out.,35,Lights,34,Oven,12,Coffeemaker,5,TV,3,Iron
Name A Language Spoken In Europe.,49,French,21,English,11,Spanish,9,German,6,Italian
Name An Article Of Clothing That Children Are Always Losing,47,Socks,18,Shoes,15,Gloves,9,Hat,7,Jacket
Tell Me A Food That People Often Slurp While Eating,62,Soup,27,Spaghetti,4,Cereal,3,Ice Cream,3,Jell O
What Is The Best Gift For Your Boss To Give You Around The Holidays?,55,Raise/Bonus,22,Days Off,8,Holiday Food,7,Gift Card,4,Jewelry
Name Something Many People Spend A Lot Of Money On- Just To Impress Others.,41,Clothes,40,Car,10,House,3,Hair Cut,3,Jewelry
Name Something That A Las Vegas Entertainer’s Outfit Would Have Sewn On,52,Sequins,16,Feathers,11,Name,9,Beads,9,Jewels
On His 18th Birthday- What Would A Mom Hate To Hear Her Son Say? “Mom- I’m_____”,31,Moving Out,25,Getting Married,19,Going To Be A Dad,10,Dropping Out,5,Joining Military
Name A Profession That Would Help You Be Good At Solving Crossword Puzzles.,58,Teacher,17,Writer,13,Librarian,8,Editor,4,Journalist
Name Something Cinderella Would Have A Hard Time Doing In Her Glass Slippers.,54,Running,17,Tap Dancing,13,Walking,7,Mopping,6,Jumping
Name Something People Supposedly Do Differently Than Animals,43,Eat,25,Walk,19,Communicate,8,Think,3,Keep Clean
What Could Your Computer Run Without- But It Would Be A Bummer Not To Have?,31,Internet,30,Mouse,16,Printer,12,Speakers,8,Keyboard
Instead Of “Courage” Or “A Brain”- What Quality Would You Ask The Wizard Of Oz For?,30,Love,26,Strength,24,Beauty,12,Wisdom,5,Kindness
If An Alien Landed At Christmas Time- Name A Christmas Tradition That Would Be Hard To Explain.,38,Santa,22,Wrap/Exchange Gifts,20,Tree In House,8,Caroling,7,Kiss Under Mistletoe
Name A City Were You Would Expect To Find Beautiful People,30,Hollywood,24,New York,21,Miami,20,Paris,4,Las Vegas
Name A Professional You May Come In Contact With- But Should Never Flirt With.,37,Cop,25,Boss,14,Teacher,9,Priest,8,Lawyer
Name A Fruit That You Squeeze To See If It’s Ripe.,48,Orange,16,Peach,16,Melon,9,Tomato,8,Lemon
Before A Part-Time Job- Name A Way That Kids Earn Money.,37,Chores,27,Babysitting,16,Paper Route,14,Mow Lawns,4,Lemonade Stand
Name A Print You’d Find On A Woman’s Dress- But Not On A Country’s Flag.,43,Floral,26,Plaid,17,Polka Dots,7,Paisley,5,Leopard Print
Name Something A Parent Tells Their Teen- ” I Never Did At Your Age”,48,Smoke,27,Drink,6,Date,4,Talk Back,3,Lie
Name A Board Game That Takes A Long Time To Play.,42,Monopoly,19,Chess,15,Scrabble,10,Risk,9,Life
Tell Me Something You Feel Before You Buy It.,44,Fruit/Vegetables,23,Clothes,13,Bread,11,Pillow,7,Linens
What Do You Do When You Want To Sing Along With A Song- But Don’t Know The Words?,66,Hum,18,Mumble,6,Pretend To Know,4,Whistle,4,Lip Sync
Name Something You Wish Your Kids Would Do Without Having To Be Told Twice.,54,Clean,14,Homework,13,Go To Bed,11,Brush Teeth,5,Listen
Name Something People Do In December In Order To Get In The Holiday Spirit,55,Decorate,26,Buy Gifts,7,Sing Carols,6,Put Up Tree,5,Listen To Music
Why Might You Leave A Restaurant Before Even Eating There?,42,Dirty,35,Bad Service,9,Crowded,8,Bugs Bunny,4,Long Wait
Which Trait Of A Good Teacher Would Also Be Important For A Good Con Man?,54,Smart,17,Outgoing,12,Convincing,7,Trusted,7,Looks Professional
Name An Occupation That Might Get Tired Of Wearing The Same Thing Every Day,33,Nurse,26,Doctor,21,Police Officer,13,Food Server,4,Mail Carrier
Tell Me Something Specific That A Barber Must Get Sick Of Doing,46,Cutting Hair,25,Shaving,12,Sweeping,7,Standing,7,Making Conversation
Which Actor Do You Think Gets The Most Love Letters?,57,Brad Pitt,13,Tom Cruise,12,Geoge Clooney,4,Zac Efron,4,Mel Gibson
Name A Celebrity Who You’re Pretty Sure Has Had Plastic Surgery,34,Joan Rivers,29,Pamela Anderson,12,Cher,10,Dolly Parton,9,Michael Jackson
Which Famous Painter Would You Ask To Paint Your Portrait?,49,Picasso,15,Van Gogh,12,Da Vinci,12,Monet,10,Michaelangelo
Name Something You Wouldn’t Leave In You Car On A Hot Day,31,Dog,24,Child,18,Chocolate,18,Ice Cream,6,Milk
Name A Kind Of Drink You Wouldn’t Want To Have Spilled On You.,36,Wine,35,Coffee,13,Beer,8,Juice,5,Milk
Name A Good Day Job For A Body Builder,42,Personal Trainer,19,Construction,13,Bouncer,9,Lifeguard,6,Model
Name Something Found In Las Vegas That You’d Like To See More Of In Your Home Town,60,Casinos,18,Bright Lights,8,Beautiful Women,7,Night Life,5,Money
Tell Me An Animal You Associate With India,43,Elephant,22,Camel,19,Tiger,9,Cow,4,Monkey
Name A Place Where Thereâ€™S Often A Line For The Womenâ€™S Restroom,29,Bar,26,Concert,19,Mall,13,Restaurant,11,Movie Theatre
Name Something That Grows Without Being Watered.,28,Hair,25,Weeds,19,Cactus,17,People,3,Nails
What Do People Use To Keep Their Place In A Book If They Don’t Have A Bookmark?,55,Paper,18,Fold Page,13,Pen,8,Card,4,Napkin
If Santa Showed Up At Your Work Holiday Party- What Might Your Co-Workers Request For Christmas?,38,Bonus,25,Raise,11,Car,10,Time Off,5,New Boss
Name Something A Boy Scout Wouldnâ€™T Need To Start A Fire- But You Do,46,Matches,25,Lighter,12,Gasoline,11,Kindling,4,Newspaper
Name a Situation When It’s Better To Ride A Bike Than Take A Taxi,69,Traffic Jam,12,No Money,7,Want Exercise,5,Short Distance,4,Nice Weather
Name An Article Of Clothing That Only A Neat-Freak Would Iron,47,Underwear,29,Socks,14,Jeans,5,Tie,3,Nightgown
Name A Reason Why Someone Might Make Fun Of Your Dance Moves,25,They’re Jealous,25,Don’t Know Steps,22,Old Fashioned Moves,17,Clumsy/Tripping,8,No Rhythm
Name Something Specific A Person May Change In Order To Become A Celebrity,32,Body,29,Name,15,Hair,10,Attitude,6,Nose
Tell Me Something Specific You Hate About Going To The Dentist,59,Drill,13,Waiting,8,Bill,8,Shots,7,Numb Mouth/ Novacaine
Name Something Women Wear That Becomes Uncomfortable After A While,50,Brassiere,21,High Heels,15,Underwear,9,Girdle,3,Nylons
Name A Musical Instrument Made Out Of Wood,30,Guitar,26,Violin,18,Flute/Pipe,8,Clarinet,5,Oboe
Name An Excuse People Give For Not Eating Healthy,55,No Time,18,Lazy,11,Too Expensive,7,Taste,5,Only Live Once
